1,12,194865,48
4,4,1985221,46
1,9,1941111,35
4,14,1975129,18
2,15,1969524,39
3,3,1929515,14
3,6,1920515,57
5,19,196593,16
5,20,1965520,51
5,15,199357,57
2,6,194049,41
4,13,2000812,8
3,2,1928522,39
5,5,1936629,9
2,5,1964614,40
3,12,19991217,37
3,10,1990511,8
1,3,201526,4
5,1,1961819,30
1,18,19881117,37
3,16,1984228,38
2,4,197045,10
1,5,20131229,54
5,12,1967111,37
2,15,200771,54
5,9,1986106,18
1,15,193352,56
5,4,1966624,13
3,2,1974727,46
2,20,1926522,12
4,2,201354,10
2,2,1959128,20
4,20,1956117,9
4,11,197935,44
3,1,1960110,42
1,1,1987103,23
2,5,19671028,32
3,3,1945826,44
3,3,200881,51
5,18,19881210,13
1,3,19231114,9
2,20,1986929,36
5,20,1985911,17
5,16,1983321,12
3,19,19441025,2
5,20,1972118,32
3,14,1924114,26
4,12,198541,59
3,9,1973631,20
4,13,2015810,4
5,11,2019522,30
2,11,19941018,46
2,14,1934912,31
1,15,192879,13
3,19,195675,4
3,20,1942231,16
5,6,199657,51
1,7,1967129,46
4,10,1977629,38
1,13,2010329,25
5,18,19761031,25
4,2,19211212,35
1,19,1981128,49
2,10,1998722,13
5,12,199186,38
3,11,1948229,11
2,4,1988428,55
1,2,1976927,53
2,13,2005610,51
4,1,1997418,7
4,9,1935712,30
3,12,1996910,2
5,19,196087,39
4,8,19931023,17
2,12,19641230,40
2,10,1947119,38
1,2,1980713,12
4,14,1952322,32
2,20,1980916,52
2,4,199338,46
3,6,1954210,19
1,13,1945322,37
1,5,1932915,57
5,1,1979117,50
4,15,1956212,20
3,17,19521229,55
4,9,19911122,18
3,6,1984327,33
5,10,1951916,50
4,4,19971127,3
1,15,2004313,24
2,9,1943103,32
4,8,200253,52
1,12,192067,59
2,17,19901115,3
4,19,1976129,47
4,5,1991919,23
5,2,194613,20
2,9,1944224,3
4,15,195547,25
